Kraj,Rok, Administrativní a podpůrné činnosti, Doprava a skladování, Informační a komunikační činnosti," Kulturní, zábavní a rekreační činnosti", Ostatní činnosti, Peněžnictví a pojišťovnictví," Profesní, vědecké a technické činnosti", Stavebnictví, Těžba a dobývání," Ubytování, stravování a pohostinství", Velkoobchod a maloobchod; opravy a údržba motorových vozidel, Veřejná správa a obrana; povinné sociální zabezpečení, Vzdělávání," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu", Zdravotní a sociální péče," Zemědělství, lesnictví, rybářství", Zpracovatelský průmysl," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi", Činnosti v oblasti nemovitostí
Pardubický kraj,2005,10165,15658,22776,13697,12459,28091,19715,15442,17523,9026,14489,19302,16565,26576,15511,13416,15924,16001,13822
Pardubický kraj,2006,11694,16895,23938,14792,12421,29467,19666,16742,18686,9482,15109,20199,17624,27091,16864,14029,17183,16512,14893
Pardubický kraj,2007,12173,17917,25198,15283,13496,30875,21690,17854,20665,10275,17525,21470,18584,28698,17469,15622,18323,17810,16296
Pardubický kraj,2008,12435,19890,27238,16865,13534,36400,22985,19631,21689,10633,17360,22651,19376,31877,17765,17412,19705,18768,18684
Pardubický kraj,2009,12590,20002,31826,16838,14441,34514,23759,20369,22840,10463,17402,22063,20793,33874,19575,17233,20153,19761,18796
Pardubický kraj,2010,11459,20219,27025,16836,14474,34208,23527,19571,23970,11140,17323,22108,20153,34184,20075,17092,20926,20307,19068
Pardubický kraj,2011,11877,19728,29209,17039,15170,35533,23962,20339,21692,11189,17764,23418,20657,33026,20700,18351,21839,20689,19528
Pardubický kraj,2012,11874,21076,29720,16770,15448,37265,25108,20229,23102,11409,19181,24001,21220,34596,20823,19287,22378,21127,22561
Pardubický kraj,2013,11866,21464,30293,17428,14574,34436,24502,20292,22340,11533,18463,23564,21182,35667,21078,20343,22935,21839,19680
Pardubický kraj,2014,12223,22111,30474,17779,15379,36083,24942,21010,24814,12081,18766,24836,21672,39608,21387,21414,23840,21853,18320
Pardubický kraj,2015,13108,22723,30595,19779,16018,34282,25270,22012,27502,12553,19983,25703,21990,36852,23873,21550,24486,22172,21482
Pardubický kraj,2016,14682,23209,30082,21049,17380,37024,26431,23093,30375,12678,20903,27384,23016,37471,23924,22522,25884,23738,22455
Pardubický kraj,2017,16718,25339,31725,23152,17720,36275,28331,24649,28897,14931,22754,29520,24488,38624,25550,24377,27565,25135,21423
Pardubický kraj,2018,18844,26570,34729,23897,20117,40393,28604,26716,32292,16458,24593,32475,27042,41179,28175,26076,29581,26611,23742
Pardubický kraj,2019,19648,28711,34606,26082,20797,40667,30361,28756,37840,17882,26152,35056,30542,43384,30426,27918,31335,28929,24746
Pardubický kraj,2020,20383,29503,36560,26775,22283,40914,31088,30659,40316,18111,27058,36845,33623,44887,33811,28828,32098,31006,24972
Pardubický kraj,2021,20678,31315,38769,27424,22555,43446,32533,32063,39198,19827,29260,36970,36192,46429,37768,29984,33603,31819,25210
Pardubický kraj,2022,21212,33378,44067,28458,21782,48115,33875,32365,38143,20120,30435,38447,36249,50774,34495,31607,35299,34480,27686
Pardubický kraj,2023,24575,35699,46781,30407,23528,50866,36332,35245,40417,21087,31888,41723,38088,57798,36769,33972,38224,37888,29097
Pardubický kraj,2024,25220,37517,48426,32915,28339,55360,38621,38691,43029,22826,35092,42804,38587,55545,42085,36001,40967,41126,37422
Plzeňský kraj,2005,11888,16403,28414,15114,11633,26776,18739,15734,18579,8822,14342,21514,16984,25694,17526,14081,17299,15965,14965
Plzeňský kraj,2006,12692,17527,33338,16104,12659,29299,19502,16761,20854,9388,15323,22498,18124,27143,19243,15177,18903,17416,15232
Plzeňský kraj,2007,13448,18976,32149,16923,13305,29502,20516,18835,24231,10244,16704,23882,19195,27817,20195,16778,20158,18618,16899
Plzeňský kraj,2008,13553,20111,32566,17671,13770,32421,22544,19907,25670,10843,18070,25519,19690,31900,22035,17713,21987,20352,18522
Plzeňský kraj,2009,14810,20792,36760,20183,14676,36117,35726,21727,25448,10120,18334,25492,20292,33240,23759,17780,22722,20745,19281
Plzeňský kraj,2010,14638,20789,35699,19352,13790,36387,23452,21849,26787,10691,19845,25216,20683,34053,24358,18891,23332,22556,18312
Plzeňský kraj,2011,14631,20806,35365,18654,14964,38194,24832,21602,27014,10660,19477,24862,21048,36041,26151,19536,24170,21670,20417
Plzeňský kraj,2012,14978,21619,38266,18607,15012,39574,24639,23555,27555,10529,19948,25598,21365,36979,26001,20034,24929,22686,19606
Plzeňský kraj,2013,14627,21822,38152,20046,15290,44241,24089,22418,26961,10957,19483,26427,21542,36870,25953,20888,25179,22841,18967
Plzeňský kraj,2014,14922,21926,38064,21714,15910,36186,25868,22735,27829,11534,20410,26561,22174,36380,26778,21699,26071,23284,17835
Plzeňský kraj,2015,14956,23019,38411,21917,16855,34821,25904,23988,28018,12230,21487,28050,22455,36452,27828,22478,27052,23831,18987
Plzeňský kraj,2016,15485,23608,39508,23731,18562,39231,27525,26002,30555,12937,22984,29061,23516,37191,28917,23290,28300,24629,20235
Plzeňský kraj,2017,17247,26358,42612,26309,19521,40680,30645,26727,31960,14995,25046,31471,25219,39986,31006,24897,30861,26936,21971
Plzeňský kraj,2018,19455,28448,46950,27385,20458,42740,32683,28897,32594,16611,26851,34729,28087,41655,33755,26893,32804,28429,23457
Plzeňský kraj,2019,20100,30346,48201,30868,22641,44338,34921,30579,14908,18263,28373,36118,31341,45222,36391,29449,35032,31434,26675
Plzeňský kraj,2020,20250,30774,51188,30504,23162,44835,35353,31462,35355,17786,28981,39089,33477,47230,40975,31152,35129,32245,26212
Plzeňský kraj,2021,21356,32343,50916,29594,23738,46128,39090,32412,37480,19853,30173,39188,35911,49300,45828,31882,37038,33750,25195
Plzeňský kraj,2022,20493,34587,55314,32122,23724,50116,39152,33016,37153,19994,32222,40729,36221,53402,43027,32369,38791,35786,29589
Plzeňský kraj,2023,21819,36220,58702,34987,25503,53966,43739,35325,41015,21421,34099,43792,37886,56490,45429,34491,42023,39012,30915
