Kraj,Převažující činnost,Rok,Mzda_Kc
Ústecký kraj, Těžba a dobývání,2005,21506
Ústecký kraj, Zpracovatelský průmysl,2005,17072
Ústecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,25833
Ústecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16568
Ústecký kraj, Stavebnictví,2005,15240
Ústecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,13481
Ústecký kraj, Doprava a skladování,2005,16843
Ústecký kraj," Ubytování, stravování a pohostinství",2005,8496
Ústecký kraj, Informační a komunikační činnosti,2005,27507
Ústecký kraj, Peněžnictví a pojišťovnictví,2005,25605
Ústecký kraj, Činnosti v oblasti nemovitostí,2005,14121
Ústecký kraj," Profesní, vědecké a technické činnosti",2005,17790
Ústecký kraj, Administrativní a podpůrné činnosti,2005,10094
Ústecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,20802
Ústecký kraj, Vzdělávání,2005,16703
Ústecký kraj, Zdravotní a sociální péče,2005,15497
Ústecký kraj," Kulturní, zábavní a rekreační činnosti",2005,13176
Ústecký kraj, Ostatní činnosti,2005,11387
Vysočina," Zemědělství, lesnictví, rybářství",2005,13343
Vysočina, Těžba a dobývání,2005,19428
Vysočina, Zpracovatelský průmysl,2005,16644
Vysočina," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,28772
Vysočina," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16343
Vysočina, Stavebnictví,2005,15064
Vysočina, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,13672
Vysočina, Doprava a skladování,2005,16299
Vysočina," Ubytování, stravování a pohostinství",2005,9021
Vysočina, Informační a komunikační činnosti,2005,26647
Vysočina, Peněžnictví a pojišťovnictví,2005,24546
Vysočina, Činnosti v oblasti nemovitostí,2005,14034
Vysočina," Profesní, vědecké a technické činnosti",2005,18335
Vysočina, Administrativní a podpůrné činnosti,2005,9631
Vysočina, Veřejná správa a obrana; povinné sociální zabezpečení,2005,19374
Vysočina, Vzdělávání,2005,16112
Vysočina, Zdravotní a sociální péče,2005,15960
Vysočina," Kulturní, zábavní a rekreační činnosti",2005,13176
Vysočina, Ostatní činnosti,2005,12735
Zlínský kraj," Zemědělství, lesnictví, rybářství",2005,14567
Zlínský kraj, Těžba a dobývání,2005,18426
Zlínský kraj, Zpracovatelský průmysl,2005,16298
Zlínský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,18306
Zlínský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,15737
Zlínský kraj, Stavebnictví,2005,15481
Zlínský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,14309
Zlínský kraj, Doprava a skladování,2005,15668
Zlínský kraj," Ubytování, stravování a pohostinství",2005,8493
Zlínský kraj, Informační a komunikační činnosti,2005,23506
Zlínský kraj, Peněžnictví a pojišťovnictví,2005,25258
Zlínský kraj, Činnosti v oblasti nemovitostí,2005,13260
Zlínský kraj," Profesní, vědecké a technické činnosti",2005,20704
Zlínský kraj, Administrativní a podpůrné činnosti,2005,10182
Zlínský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,18459
Zlínský kraj, Vzdělávání,2005,16724
Zlínský kraj, Zdravotní a sociální péče,2005,15397
Zlínský kraj," Kulturní, zábavní a rekreační činnosti",2005,13442
Zlínský kraj, Ostatní činnosti,2005,10989
Jihočeský kraj," Zemědělství, lesnictví, rybářství",2006,14401
Jihočeský kraj, Těžba a dobývání,2006,20671
Jihočeský kraj, Zpracovatelský průmysl,2006,17313
Jihočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,29708
Jihočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17263
Jihočeský kraj, Stavebnictví,2006,16974
Jihočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,15098
Jihočeský kraj, Doprava a skladování,2006,16055
Jihočeský kraj," Ubytování, stravování a pohostinství",2006,9586
Jihočeský kraj, Informační a komunikační činnosti,2006,29073
Jihočeský kraj, Peněžnictví a pojišťovnictví,2006,28857
Jihočeský kraj, Činnosti v oblasti nemovitostí,2006,13848
Jihočeský kraj," Profesní, vědecké a technické činnosti",2006,19412
Jihočeský kraj, Administrativní a podpůrné činnosti,2006,10509
Jihočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,21807
Jihočeský kraj, Vzdělávání,2006,17479
Jihočeský kraj, Zdravotní a sociální péče,2006,17484
Jihočeský kraj," Kulturní, zábavní a rekreační činnosti",2006,15781
Jihočeský kraj, Ostatní činnosti,2006,13539
Jihomoravský kraj," Zemědělství, lesnictví, rybářství",2006,13694
Jihomoravský kraj, Těžba a dobývání,2006,24346
Jihomoravský kraj, Zpracovatelský průmysl,2006,17558
Jihomoravský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,23371
Jihomoravský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,18711
Jihomoravský kraj, Stavebnictví,2006,17386
Jihomoravský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,15711
Jihomoravský kraj, Doprava a skladování,2006,16730
Jihomoravský kraj," Ubytování, stravování a pohostinství",2006,10096
Jihomoravský kraj, Informační a komunikační činnosti,2006,30868
Jihomoravský kraj, Peněžnictví a pojišťovnictví,2006,27647
Jihomoravský kraj, Činnosti v oblasti nemovitostí,2006,14104
Jihomoravský kraj," Profesní, vědecké a technické činnosti",2006,21398
Jihomoravský kraj, Administrativní a podpůrné činnosti,2006,12196
Jihomoravský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,22069
Jihomoravský kraj, Vzdělávání,2006,18993
Jihomoravský kraj, Zdravotní a sociální péče,2006,18549
Jihomoravský kraj," Kulturní, zábavní a rekreační činnosti",2006,14532
Jihomoravský kraj, Ostatní činnosti,2006,13851
Karlovarský kraj," Zemědělství, lesnictví, rybářství",2006,15067
Karlovarský kraj, Těžba a dobývání,2006,24235
Karlovarský kraj, Zpracovatelský průmysl,2006,15889
Karlovarský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,22723
Karlovarský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17087
Karlovarský kraj, Stavebnictví,2006,15308
Karlovarský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,14077
Karlovarský kraj, Doprava a skladování,2006,16636
Karlovarský kraj," Ubytování, stravování a pohostinství",2006,12184
Karlovarský kraj, Informační a komunikační činnosti,2006,23513
Karlovarský kraj, Peněžnictví a pojišťovnictví,2006,26143
Karlovarský kraj, Činnosti v oblasti nemovitostí,2006,14277
Karlovarský kraj," Profesní, vědecké a technické činnosti",2006,16646
Karlovarský kraj, Administrativní a podpůrné činnosti,2006,12491
Karlovarský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,21226
Karlovarský kraj, Vzdělávání,2006,17167
Karlovarský kraj, Zdravotní a sociální péče,2006,16338
Karlovarský kraj," Kulturní, zábavní a rekreační činnosti",2006,15498
Karlovarský kraj, Ostatní činnosti,2006,11877
Královéhradecký kraj," Zemědělství, lesnictví, rybářství",2006,15003
Královéhradecký kraj, Těžba a dobývání,2006,23370
Královéhradecký kraj, Zpracovatelský průmysl,2006,17126
Královéhradecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,29444
Královéhradecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17694
Královéhradecký kraj, Stavebnictví,2006,16759
Královéhradecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,14943
Královéhradecký kraj, Doprava a skladování,2006,16235
Královéhradecký kraj," Ubytování, stravování a pohostinství",2006,9973
Královéhradecký kraj, Informační a komunikační činnosti,2006,25891
Královéhradecký kraj, Peněžnictví a pojišťovnictví,2006,29807
Královéhradecký kraj, Činnosti v oblasti nemovitostí,2006,13760
Královéhradecký kraj," Profesní, vědecké a technické činnosti",2006,18858
Královéhradecký kraj, Administrativní a podpůrné činnosti,2006,11582
Královéhradecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,22152
Královéhradecký kraj, Vzdělávání,2006,17411
Královéhradecký kraj, Zdravotní a sociální péče,2006,17697
Královéhradecký kraj," Kulturní, zábavní a rekreační činnosti",2006,14227
Královéhradecký kraj, Ostatní činnosti,2006,12580
Liberecký kraj," Zemědělství, lesnictví, rybářství",2006,14523
Liberecký kraj, Těžba a dobývání,2006,23082
Liberecký kraj, Zpracovatelský průmysl,2006,17921
Liberecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,21501
Liberecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17573
Liberecký kraj, Stavebnictví,2006,16575
Liberecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,14586
Liberecký kraj, Doprava a skladování,2006,16623
Liberecký kraj," Ubytování, stravování a pohostinství",2006,9708
Liberecký kraj, Informační a komunikační činnosti,2006,25477
Liberecký kraj, Peněžnictví a pojišťovnictví,2006,27281
Liberecký kraj, Činnosti v oblasti nemovitostí,2006,13936
Liberecký kraj," Profesní, vědecké a technické činnosti",2006,19612
Liberecký kraj, Administrativní a podpůrné činnosti,2006,10725
Liberecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,19550
Liberecký kraj, Vzdělávání,2006,17304
Liberecký kraj, Zdravotní a sociální péče,2006,17264
Liberecký kraj," Kulturní, zábavní a rekreační činnosti",2006,14911
Liberecký kraj, Ostatní činnosti,2006,12459
Moravskoslezský kraj," Zemědělství, lesnictví, rybářství",2006,14078
Moravskoslezský kraj, Těžba a dobývání,2006,25730
Moravskoslezský kraj, Zpracovatelský průmysl,2006,18642
Moravskoslezský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,26227
Moravskoslezský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17440
Moravskoslezský kraj, Stavebnictví,2006,16306
Moravskoslezský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,14692
Moravskoslezský kraj, Doprava a skladování,2006,17094
Moravskoslezský kraj," Ubytování, stravování a pohostinství",2006,9136
Moravskoslezský kraj, Informační a komunikační činnosti,2006,27356
Moravskoslezský kraj, Peněžnictví a pojišťovnictví,2006,27937
Moravskoslezský kraj, Činnosti v oblasti nemovitostí,2006,15716
Moravskoslezský kraj," Profesní, vědecké a technické činnosti",2006,19469
Moravskoslezský kraj, Administrativní a podpůrné činnosti,2006,11313
Moravskoslezský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,22154
Moravskoslezský kraj, Vzdělávání,2006,18228
Moravskoslezský kraj, Zdravotní a sociální péče,2006,17402
Moravskoslezský kraj," Kulturní, zábavní a rekreační činnosti",2006,14622
Moravskoslezský kraj, Ostatní činnosti,2006,12785
Olomouckáý kraj," Zemědělství, lesnictví, rybářství",2006,13935
Olomouckáý kraj, Těžba a dobývání,2006,21371
Olomouckáý kraj, Zpracovatelský průmysl,2006,16733
Olomouckáý kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,20021
Olomouckáý kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,17315
Olomouckáý kraj, Stavebnictví,2006,16759
Olomouckáý kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,14838
Olomouckáý kraj, Doprava a skladování,2006,17345
Olomouckáý kraj," Ubytování, stravování a pohostinství",2006,9185
Olomouckáý kraj, Informační a komunikační činnosti,2006,24362
Olomouckáý kraj, Peněžnictví a pojišťovnictví,2006,25305
Olomouckáý kraj, Činnosti v oblasti nemovitostí,2006,13426
Olomouckáý kraj," Profesní, vědecké a technické činnosti",2006,18830
Olomouckáý kraj, Administrativní a podpůrné činnosti,2006,10394
Olomouckáý kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,21326
Olomouckáý kraj, Vzdělávání,2006,18073
Olomouckáý kraj, Zdravotní a sociální péče,2006,17706
Olomouckáý kraj," Kulturní, zábavní a rekreační činnosti",2006,14037
Olomouckáý kraj, Ostatní činnosti,2006,12867
Pardubický kraj," Zemědělství, lesnictví, rybářství",2006,14029
Pardubický kraj, Těžba a dobývání,2006,18686
Pardubický kraj, Zpracovatelský průmysl,2006,17183
Pardubický kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,27091
Pardubický kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2006,16512
Pardubický kraj, Stavebnictví,2006,16742
Pardubický kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,15109
Pardubický kraj, Doprava a skladování,2006,16895
Pardubický kraj," Ubytování, stravování a pohostinství",2006,9482
Pardubický kraj, Informační a komunikační činnosti,2006,23938
Pardubický kraj, Peněžnictví a pojišťovnictví,2006,29467
Pardubický kraj, Činnosti v oblasti nemovitostí,2006,14893
Pardubický kraj," Profesní, vědecké a technické činnosti",2006,19666
Pardubický kraj, Administrativní a podpůrné činnosti,2006,11694
Pardubický kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2006,20199
Pardubický kraj, Vzdělávání,2006,17624
Pardubický kraj, Zdravotní a sociální péče,2006,16864
Pardubický kraj," Kulturní, zábavní a rekreační činnosti",2006,14792
Pardubický kraj, Ostatní činnosti,2006,12421
Plzeňský kraj," Zemědělství, lesnictví, rybářství",2006,15177
Plzeňský kraj, Těžba a dobývání,2006,20854
Plzeňský kraj, Zpracovatelský průmysl,2006,18903
