Kraj,Rok,Odvetvi,Pocet_zamestnancu
Jihomoravský kraj,2011,Ostatní činnosti,9967
Jihomoravský kraj,2011,Peněžnictví a pojišťovnictví,14101
Jihomoravský kraj,2011,"Profesní, vědecké a technické činnosti",30458
Jihomoravský kraj,2011,Stavebnictví,46641
Jihomoravský kraj,2011,Těžba a dobývání,1976
Jihomoravský kraj,2011,"Ubytování, stravování a pohostinství",17158
Jihomoravský kraj,2011,Velkoobchod a maloob.; opr. mot. vozidel,63970
Jihomoravský kraj,2011,Veřejná správa a obrana; pov. soc. zabezp.,36210
Jihomoravský kraj,2011,Vzdělávání,34890
Jihomoravský kraj,2011,"Výroba a rozvod elektřiny, plynu, tepla",5786
Jihomoravský kraj,2011,Zdravotní a sociální péče,39606
Jihomoravský kraj,2011,"Zemědělství, lesnictví a rybářství",15312
Jihomoravský kraj,2011,Zpracovatelský průmysl,132766
Jihomoravský kraj,2011,Zásob. vodou; činnosti souvis. s odpady,4213
Jihomoravský kraj,2011,Činnosti v oblasti nemovitostí,4256
Jihomoravský kraj,2012,Administrativní a podpůrné činnosti,13970
Jihomoravský kraj,2012,Doprava a skladování,32381
Jihomoravský kraj,2012,Informační a komunikační činnosti,16184
Jihomoravský kraj,2012,"Kulturní, zábavní a rekreační činnosti",9321
Jihomoravský kraj,2012,Ostatní činnosti,10429
Jihomoravský kraj,2012,Peněžnictví a pojišťovnictví,14019
Jihomoravský kraj,2012,"Profesní, vědecké a technické činnosti",25307
Jihomoravský kraj,2012,Stavebnictví,46434
Jihomoravský kraj,2012,Těžba a dobývání,1610
Jihomoravský kraj,2012,"Ubytování, stravování a pohostinství",17870
Jihomoravský kraj,2012,Velkoobchod a maloob.; opr. mot. vozidel,64236
Jihomoravský kraj,2012,Veřejná správa a obrana; pov. soc. zabezp.,34206
Jihomoravský kraj,2012,Vzdělávání,40003
Jihomoravský kraj,2012,"Výroba a rozvod elektřiny, plynu, tepla",5575
Jihomoravský kraj,2012,Zdravotní a sociální péče,39155
Jihomoravský kraj,2012,"Zemědělství, lesnictví a rybářství",15673
Jihomoravský kraj,2012,Zpracovatelský průmysl,139646
Jihomoravský kraj,2012,Zásob. vodou; činnosti souvis. s odpady,5199
Jihomoravský kraj,2012,Činnosti v oblasti nemovitostí,4053
Jihomoravský kraj,2013,Administrativní a podpůrné činnosti,15685
Jihomoravský kraj,2013,Doprava a skladování,28974
Jihomoravský kraj,2013,Informační a komunikační činnosti,21665
Jihomoravský kraj,2013,"Kulturní, zábavní a rekreační činnosti",10437
Jihomoravský kraj,2013,Ostatní činnosti,13981
Jihomoravský kraj,2013,Peněžnictví a pojišťovnictví,16676
Jihomoravský kraj,2013,"Profesní, vědecké a technické činnosti",26193
Jihomoravský kraj,2013,Stavebnictví,47063
Jihomoravský kraj,2013,Těžba a dobývání,2070
Jihomoravský kraj,2013,"Ubytování, stravování a pohostinství",19867
Jihomoravský kraj,2013,Velkoobchod a maloob.; opr. mot. vozidel,64478
Jihomoravský kraj,2013,Veřejná správa a obrana; pov. soc. zabezp.,38176
Jihomoravský kraj,2013,Vzdělávání,43417
Jihomoravský kraj,2013,"Výroba a rozvod elektřiny, plynu, tepla",5472
Jihomoravský kraj,2013,Zdravotní a sociální péče,38275
Jihomoravský kraj,2013,"Zemědělství, lesnictví a rybářství",16138
Jihomoravský kraj,2013,Zpracovatelský průmysl,134125
Jihomoravský kraj,2013,Zásob. vodou; činnosti souvis. s odpady,7432
Jihomoravský kraj,2013,Činnosti v oblasti nemovitostí,2937
Jihomoravský kraj,2014,Administrativní a podpůrné činnosti,15909
Jihomoravský kraj,2014,Doprava a skladování,34446
Jihomoravský kraj,2014,Informační a komunikační činnosti,22029
Jihomoravský kraj,2014,"Kulturní, zábavní a rekreační činnosti",8827
Jihomoravský kraj,2014,Ostatní činnosti,9923
Jihomoravský kraj,2014,Peněžnictví a pojišťovnictví,14885
Jihomoravský kraj,2014,"Profesní, vědecké a technické činnosti",28462
Jihomoravský kraj,2014,Stavebnictví,44559
Jihomoravský kraj,2014,Těžba a dobývání,2864
Jihomoravský kraj,2014,"Ubytování, stravování a pohostinství",16761
Jihomoravský kraj,2014,Velkoobchod a maloob.; opr. mot. vozidel,59933
Jihomoravský kraj,2014,Veřejná správa a obrana; pov. soc. zabezp.,37964
Jihomoravský kraj,2014,Vzdělávání,41211
Jihomoravský kraj,2014,"Výroba a rozvod elektřiny, plynu, tepla",6948
Jihomoravský kraj,2014,Zdravotní a sociální péče,39869
Jihomoravský kraj,2014,"Zemědělství, lesnictví a rybářství",15318
Jihomoravský kraj,2014,Zpracovatelský průmysl,145521
Jihomoravský kraj,2014,Zásob. vodou; činnosti souvis. s odpady,5262
Jihomoravský kraj,2014,Činnosti v oblasti nemovitostí,4149
Jihomoravský kraj,2015,Administrativní a podpůrné činnosti,14287
Jihomoravský kraj,2015,Doprava a skladování,31027
Jihomoravský kraj,2015,Informační a komunikační činnosti,19799
